"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1012.6","...","15.9","...","74","0.3","205","...","...","0.0","...","...","...","...","...","..."
"02","1012.5","...","15.2","...","79","0.7","110","...","...","0.0","...","...","...","...","...","..."
"03","1012.5","...","15.1","...","81","0.1","0","...","...","0.0","...","...","...","...","...","..."
"04","1011.9","...","15.6","...","77","0.0","0","...","...","0.0","...","...","...","...","...","..."
"05","1011.9","...","15.4","...","80","0.5","115","...","...","0.0","...","...","...","...","...","..."
"06","1012.5","...","15.5","...","79","0.3","50","...","...","0.0","...","...","...","...","...","..."
"07","1012.9","...","15.7","...","77","0.0","0","...","...","0.0","...","...","...","...","...","..."
"08","1013.6","...","15.4","...","83","0.3","186","...","...","0.0","...","...","...","...","...","..."
"09","1013.7","...","17.9","...","66","0.2","0","...","...","0.0","...","...","...","...","...","..."
"10","1013.7","...","19.2","...","58","0.6","306","...","...","0.0","...","...","...","...","...","..."
"11","1012.8","...","21.4","...","49","1.4","347","...","...","0.0","...","...","...","...","...","..."
"12","1011.4","...","22.2","...","46","1.3","329","...","...","0.0","...","...","...","...","...","..."
"13","1010.9","...","22.7","...","47","2.1","336","...","...","0.0","...","...","...","...","...","..."
"14","1010.1","...","22.8","...","48","2.1","315","...","...","0.0","...","...","...","...","...","..."
"15","1009.8","...","23.2","...","49","2.0","326","...","...","0.0","...","...","...","...","...","..."
"16","1010.1","...","21.1","...","60","2.0","3","...","...","0.0","...","...","...","...","...","..."
"17","1010.7","...","20.4","...","62","1.6","336","...","...","0.0","...","...","...","...","...","..."
"18","1011.2","...","19.4","...","67","0.4","349","...","...","0.0","...","...","...","...","...","..."
"19","1011.8","...","18.5","...","74","1.5","111","...","...","0.0","...","...","...","...","...","..."
"20","1013.5","...","17.9","...","78","0.8","108","...","...","0.0","...","...","...","...","...","..."
"21","1012.3","...","17.1","...","83","0.8","95","...","...","0.0","...","...","...","...","...","..."
"22","1012.5","...","16.8","...","84","0.7","124","...","...","0.0","...","...","...","...","...","..."
"23","1012.6","...","16.2","...","88","0.4","58","...","...","0.0","...","...","...","...","...","..."
"24","1012.1","...","15.7","...","90","0.7","116","...","...","0.0","...","...","...","...","...","..."
